Date,aet,ppt,ro,srad,soilm,tavg,vap,ws,wa
2003_12,27.2835,6.9034,0,181.9185,47.8779,19.2951,1.1029,1.027,29.9196
2004_02,6.6115,0,0,229.6427,30.6145,21.585,0.9678,1.5921,28.485
2004_04,4.6121,1.5438,0,283.1391,22.7312,32.4869,1.0689,2.392,22.7475
2004_05,11.8557,9.7548,0.2921,295.3992,20.1697,34.1278,1.3087,2.7402,12.8664
2004_06,107.5478,110.9804,5.55,229.5034,18.1488,30.8844,2.0641,3.3906,14.733
2004_09,123.8693,149.903,26.0446,225.5527,190.3254,27.3317,2.6553,0.9867,22.1031
2004_10,85.5058,29.4716,1.3435,221.2913,132.7912,25.0873,1.6722,1.0673,23.319
2004_11,49.3,7.126,0,201.6184,90.2923,22.5719,1.2573,0.9022,25.254
2004_12,32.2486,0,0,184.6641,58.0351,19.025,1.0839,1.2654,24.9984
2005_01,25.8964,11.2435,0.9987,181.3994,42.7596,17.5379,0.9791,1.6109,25.3224
2005_02,9.2621,1,0,227.0632,34.1459,21.6109,0.9514,1.9278,24.0939
2005_03,25.1125,20.516,1,249.2456,28.544,26.4724,0.9502,1.6513,20.7603
2005_04,4.9514,1,0,285.3813,24.5699,30.101,0.9244,1.8064,12.9951
2005_05,5.6268,2.8638,0,293.4429,21.5874,34.293,1.2888,2.5366,7.9362
2005_06,53.0291,53.3262,2.9996,250.6967,19.2743,33.3728,2.4724,3.3745,7.7454
2005_08,128.8653,223.8449,94.9092,224.0003,190.3254,26.2403,2.7682,2.0331,15.8895
2005_09,113.3248,310.6747,197.3954,190.6216,190.3254,26.2437,2.5142,1.7874,23.1624
2005_10,86.7852,9.447,0.2921,234.2787,112.5474,25.3067,1.6332,1.4643,23.1426
2005_11,42.8885,0,0,211.9586,69.6694,21.3558,1.1978,1.1269,21.6963
2005_12,22.9104,1.7542,0,184.6795,48.2884,17.567,0.9954,1.1808,23.6043
2006_01,10.8257,0,0,198.659,37.4602,18.7499,1.0756,1.7405,23.0139
2006_02,6.693,0,0,227.2938,30.7644,24.5962,1.1151,1.5143,21.9735
2006_05,27.326,26.1362,1.0135,281.1503,20.2413,33.9362,1.338,2.4183,10.4886
2006_06,75.0233,76.7497,4,243.1197,18.1957,32.0364,2.1291,3.0681,10.1727
2006_09,115.9731,316.3799,200.4559,207.4011,190.3254,26.4826,2.5317,1.2083,29.6649
2006_10,79.7682,12.6697,1,218.0242,122.577,26.0922,1.7775,1.0014,28.5912
2006_11,45.9657,5.9841,0,198.9303,82.0134,22.3712,1.2218,0.9186,29.0115
2006_12,27.9771,0,0,177.6929,54.0386,19.7201,1.1029,1.0466,30.4371
2007_01,16.3249,3,0,194.893,40.664,18.5673,1.0389,1.604,30.2922
2007_02,11.9025,4.419,0,215.1661,32.8345,22.2646,0.9995,1.661,27.3177
2007_03,6.7144,2,0,259.9376,27.6338,26.0429,0.8676,1.5882,24.8247
2007_04,6.6336,3.0877,0,275.9583,23.9043,31.8799,1.0358,1.8679,21.2256
2007_05,15.0132,12.7828,1,292.4253,21.0867,34.0494,1.2699,2.8195,14.0463
2007_09,110.3656,229.7286,119.3038,192.7343,190.3254,26.6013,2.5716,1.2336,22.3488
2007_10,81.3965,0,0,242.596,109.0782,25.0822,1.6419,1.2123,23.3028
2007_11,41.9643,1.6706,0,203.3284,68.5882,22.1235,1.258,1.0538,23.7429
2007_12,20.7651,0,0,174.8323,47.8138,18.879,1.0468,1.0909,24.9345
2008_01,10.622,0,0,192.2622,37.1856,17.5232,0.9814,1.7113,25.1991
2008_02,6.5971,0,0,234.4705,30.5979,19.473,0.8552,1.7484,23.0445
2008_03,9.72,5.3595,0,247.7714,26.0456,27.4577,1.0248,1.4596,19.6218
2008_04,3.5522,0,0,286.6542,22.7141,30.6146,0.9378,1.8968,14.1723
2008_05,6.1582,3.8638,0,299.1009,20.161,33.7788,1.258,3.4234,8.2908
2008_06,160.4615,167.2698,8.2941,181.3025,18.6409,29.4281,1.8948,3.3947,9.3492
2008_10,82.6857,12.4633,1,230.9466,119.5037,26.2136,1.7569,1.0074,7.8579
2008_11,51.2055,13.6983,1,195.3998,81.3404,22.2423,1.2684,1.1433,8.1432
2008_12,27.5861,0,0,179.5915,53.7535,20.2751,1.2178,0.9567,8.5779
2009_01,17.793,4.9406,0,175.4469,40.517,20.0908,1.1589,1.5259,7.8903
2009_02,7.773,0,0,230.554,32.7427,23.0776,1.1036,1.6276,7.3422
2009_03,11.8832,6.988,0,255.3785,27.5762,27.6449,1.0064,1.576,6.1326
2009_04,4.1513,0.5438,0,278.8259,23.8458,31.287,1.0039,1.9376,5.0481
2009_05,28.6811,27.3581,1.0135,293.5256,21.0478,34.2228,1.4003,2.5891,4.041
2009_06,60.1744,61.0505,3,273.6886,18.8346,33.7071,2.4957,3.305,3.1302
2009_07,115.8499,451.0001,163.7903,174.9255,190.3254,26.7635,2.8345,2.966,13.2624
2009_08,120.85,218.9685,98.1355,206.0274,190.3254,26.7256,2.8866,1.7611,14.886
2009_09,130.8905,233.5177,102.6721,223.0238,190.3254,27.5094,2.6113,1.7445,24.3072
2009_10,99.1647,62.1683,3,212.4569,150.1877,25.2443,1.6832,1.3557,26.3997
2009_11,77.3881,68.0273,3,178.2463,137.4459,21.8033,1.1991,1.0378,24.813
2009_12,65.4736,56.2247,3,170.4773,125.4181,19.8893,1.1394,0.8895,24.5079
2010_01,47.4799,5.9949,0,194.7135,83.6335,16.9072,0.968,1.6512,23.382
2010_02,32.8429,3.2341,0,212.9531,53.8823,21.5396,1.0188,1.4864,22.7961
2010_03,16.3416,3.0943,0,259.4821,40.5882,28.3907,1.0802,1.694,17.8821
2010_04,8.0357,0,0,285.618,32.7899,32.7433,1.1442,2.0534,16.236
2010_05,6.3832,1.0135,0,301.3869,27.6022,36.081,1.4727,3.0757,9.7281
2010_06,56.3925,55.386,3,266.0504,23.8865,32.9978,2.438,3.0487,10.2375
2010_09,112.6868,230.3347,117.7781,190.6931,190.3254,26.5771,2.5129,1.5087,9.3618
2010_10,80.2791,8.141,0,212.9759,117.7762,26.6416,1.798,1.1608,10.4175
2010_11,56.6035,35.1136,2,165.1583,94.4814,23.8211,1.3018,0.8223,11.2626
2010_12,35.0166,5.4373,0,175.4348,64.6805,18.1098,0.9979,1.2153,11.6775
2011_01,18.6403,0,0,199.7936,46.0178,16.6868,0.9375,1.6669,11.3544
2011_02,12.8774,3,0,219.9409,36.125,21.7213,1.0085,1.5816,12.5604
2011_03,7.4236,1,0,261.1457,29.8857,26.8362,0.9517,1.679,9.0711
2011_04,6.6804,2.5094,0,268.0544,25.5432,30.5232,0.9334,1.5615,7.3377
2011_05,10.9806,8.2586,0,292.5838,22.3284,34.7936,1.3396,2.8856,6.0255
2011_06,177.8402,191.8722,9.6102,204.0673,26.7599,29.8677,2.1063,3.4306,6.5619
2011_09,108.236,239.2888,131.0008,179.1363,190.3254,26.0703,2.4574,1.6937,24.5277
2011_10,79.4076,1,0,234.158,112.0622,26.1983,1.7454,1.012,23.9292
2011_11,42.2185,0,0,205.1603,69.8537,23.2323,1.2971,0.9531,21.1221
2011_12,24.6777,3.2962,0,184.7311,48.3775,19.3304,1.082,0.9737,19.2546
2012_01,24.799,14.6827,1,183.6232,37.522,16.6177,0.9213,1.6689,20.7405
2012_02,6.8553,0,0,231.1741,30.7977,20.7965,0.9186,1.737,16.8804
2012_03,4.604,0,0,270.0311,26.2042,25.8592,0.8969,1.6969,13.4253
2012_04,4.102,0.5713,0,276.4762,22.8178,31.2846,0.9914,2.0226,10.4796
2012_05,15.4121,13.7036,1,294.7546,20.2519,33.8946,1.3397,2.6134,8.0406
2012_06,39.644,39.5818,2,260.4023,18.2023,31.9821,2.4613,3.8068,8.2143
2012_08,93.9788,335.4682,241.392,149.6504,190.3254,25.1144,2.6353,2.0902,28.638
2012_09,104.5855,317.3345,212.652,179.7181,190.3254,26.0791,2.4966,1.3193,28.1223
2012_10,78.8759,3.9908,0,225.7407,115.2469,25.884,1.7313,1.0701,25.8624
2012_11,44.3917,1.4363,0,205.0069,72.2683,21.3038,1.1477,1.1915,28.4463
2012_12,22.8481,0,0,184.2125,49.4229,19.34,1.0743,1.13,28.5012
2013_01,16.1037,5.0831,0,193.8612,38.1087,17.0051,0.9387,1.8106,27.9099
2013_02,17.2211,10.9133,0.6404,204.8862,31.1982,20.9046,0.941,1.6424,28.0575
2013_03,22.4334,18.8144,1,250.9357,26.4789,25.9333,0.9174,1.4567,26.0505
2013_04,7.006,3.8769,0,274.0894,23.0378,30.1328,0.9139,1.775,22.221
2013_05,5.2612,2.8607,0,299.1341,20.409,34.9777,1.3825,3.2022,19.1898
2013_09,121.7107,176.3699,54.6395,207.5788,190.3254,27.3295,2.5905,1.491,29.6091
2013_10,100.9147,80.7604,4.0127,188.2206,166.1701,25.5306,1.6524,1.2972,29.3517
2013_11,56.2351,2,0,198.8374,111.8759,21.1981,1.1293,1.2169,29.8377
2013_12,48.1994,25.6844,1,172.4615,88.0701,18.3364,1.0256,1.0581,29.916
2014_01,68.0597,43.5857,2,165.5338,61.3445,25.1597,0.9511,1.6523,32.5881
2014_02,32.2435,16.1449,1,211.8999,44.4381,19.8909,0.8582,1.5807,29.4732
2014_03,23.4676,14.9423,1,249.9691,35.1784,25.0622,0.8333,1.3277,27.585
2014_04,9.4616,3.6315,0,278.2777,29.2526,30.4065,0.9031,1.5599,23.1453
2014_05,8.2638,4.2537,0,287.2511,25.081,33.8069,1.2178,2.3131,18.8784
2014_06,45.6332,44.8483,2.0213,275.4208,21.9711,33.6326,2.3945,4.0557,14.6178
2014_07,118.0976,484.5893,198.1316,174.3123,190.3254,27.0732,2.877,3.2533,15.4062
2014_08,111.5135,261.6541,150.1897,186.4143,190.3254,26.4874,2.8748,1.8871,13.7592
2014_09,115.6493,279.5151,163.9162,196.6612,190.3254,26.42,2.4669,1.5864,24.3639
2014_10,77.2409,6.5305,0,214.718,119.2783,26.0919,1.7474,1.0238,24.4431
2014_11,43.2835,1,0,199.1509,76.6904,23.2625,1.2966,0.8942,24.2388
2014_12,36.2369,13.483,1,176.2558,53.3729,18.0471,0.9673,1.297,24.7563
2015_01,47.6662,37.4732,2,163.0198,41.2813,15.9672,0.8893,1.6671,24.3621
2015_02,9.6317,1.6847,0,213.3062,33.2239,22.1367,1.0012,1.6713,20.8062
2015_03,46.0754,42.8882,2,237.0106,27.8842,24.1247,0.8131,1.408,20.0493
2015_04,8.5878,5.0096,0,264.5376,24.0909,29.638,0.8921,1.7975,17.928
2015_05,5.753,3,0,296.0666,21.223,35.2733,1.4001,2.362,12.6576
2015_06,124.4922,128.6936,6.3079,234.6835,18.9676,31.036,2.152,2.4447,11.4003
2015_09,126.604,142.8773,16.7882,222.5413,189.9547,27.325,2.6567,1.4786,23.1372
2015_10,79.9442,6.443,0,219.5078,116.1598,26.9949,1.8613,1.0433,24.9102
2015_11,41.956,0,0,185.8736,74.2059,24.1426,1.3472,0.9303,25.0659
2015_12,25.792,2,0,185.1058,50.2239,19.0224,1.0649,1.2225,25.7238
