Date,aet,ppt,ro,srad,soilm,tavg,vap,ws,wa
1995_01_1998_11,54.1566,34.0293,2.0,189.6824,68.09225,19.17595,1.0357,1.47325,27.74115
1995_01_1998_12,40.08605,18.045,1.0,187.62745,50.9427,17.4173,0.96235,1.47195,27.9279
1995_01_1999_01,32.34955,18.545,1.0,192.38655,42.0597,16.7696,0.92,1.7098,27.54
1995_01_1999_09,78.2767,329.8106,257.45465,188.09505,114.60995,21.0818,1.6797,1.70105,29.0061
1995_01_1999_10,73.22885,54.5768,2.9169,201.55315,98.9641,20.7938,1.2812,1.4194,28.3545
1995_01_1999_12,41.08405,18.045,1.0,187.3129,51.8911,17.26015,0.95135,1.55495,29.0331
1995_01_2000_02,28.44565,18.545,1.0,205.9584,37.5402,18.1246,0.8694,1.792,27.2799
1995_01_2002_09,85.1452,111.3069,32.04915,202.5456,114.60995,21.2081,1.67695,1.762,27.3987
1995_01_2002_10,66.44965,22.92135,1.17975,211.26745,75.71935,21.4129,1.3432,1.49925,26.9622
1995_01_2002_12,35.82265,19.045,1.0,181.9637,44.45405,18.66205,1.0382,1.3845,26.8515
1995_01_2003_09,71.29785,224.05455,158.674,168.72195,114.60995,20.6003,1.62445,1.92505,27.0684
1995_01_2003_10,64.5727,18.545,1.0,207.9543,73.4182,20.6827,1.2505,1.62795,28.6641
1995_01_2003_11,42.6648,18.045,1.0,191.9542,53.788,19.91945,1.09285,1.2788,29.0835
1995_01_2003_12,36.5731,21.4967,1.0,184.2592,43.3862,17.77915,0.99105,1.37305,29.16315
1995_01_2004_02,26.2371,18.045,1.0,208.1213,34.7545,18.9241,0.9235,1.6556,28.44585
1995_01_2004_11,47.58135,21.608,1.0,194.10915,64.5934,19.41755,1.06825,1.31065,26.83035
1995_01_2004_12,39.05565,18.045,1.0,185.632,48.4648,17.6441,0.98155,1.49225,26.70255
1995_01_2005_01,35.87955,23.66675,1.49935,183.99965,40.82705,16.90055,0.92915,1.665,26.86455
1995_01_2006_09,80.9179,176.23495,101.22795,197.0005,114.60995,21.3729,1.70545,1.4637,29.0358
1995_01_2006_10,62.81545,24.37985,1.5,202.31205,80.73575,21.1777,1.32835,1.36025,28.49895
1995_01_2006_11,45.9142,21.03705,1.0,192.7651,60.45395,19.3172,1.0505,1.31885,28.7091
1995_01_2006_12,36.9199,18.045,1.0,182.1464,46.46655,17.99165,0.99105,1.38285,29.4219
1995_01_2007_01,31.0938,19.545,1.0,190.74645,39.77925,17.41525,0.95905,1.66155,29.34945
1995_01_2007_02,28.8826,20.2545,1.0,200.883,35.8645,19.2639,0.93935,1.69005,27.8622
1995_01_2007_12,33.3139,18.045,1.0,180.7161,43.35415,17.5711,0.963,1.405,26.6706
1995_01_2008_01,28.24235,18.045,1.0,189.43105,38.04005,16.8932,0.9303,1.7152,26.8029
1995_01_2009_10,72.5137,49.12915,2.5,199.5284,94.5411,20.75375,1.2812,1.5374,27.4032
1995_01_2012_08,69.92075,185.7791,121.696,168.12515,114.60995,20.6888,1.75725,1.90465,28.52235
1995_01_2012_09,75.2241,176.71225,107.326,183.159,114.60995,21.17115,1.6879,1.5192,28.2645
1995_01_2012_10,62.3693,20.0404,1.0,206.1703,77.0707,21.0736,1.30525,1.3946,27.13455
1995_01_2012_11,45.1272,18.76315,1.0,195.8034,55.5814,18.7835,1.01345,1.4553,28.4265
1995_01_2012_12,34.3554,18.045,1.0,185.4062,44.1587,17.8016,0.97675,1.42455,28.45395
1995_01_2013_01,30.9832,20.58655,1.0,190.23055,38.5016,16.63415,0.90895,1.76485,28.1583
1995_01_2013_02,31.5419,23.50165,1.3202,195.74305,35.04635,18.5839,0.9101,1.68075,28.2321
1995_01_2013_03,34.14805,27.4522,1.5,218.7678,32.6867,21.09825,0.8983,1.5879,27.2286
1995_01_2013_09,83.7867,106.22995,28.31975,197.08935,114.60995,21.79635,1.73485,1.60505,29.0079
1995_01_2013_10,73.3887,58.4252,3.00635,187.41025,102.5323,20.8969,1.2658,1.50815,28.8792
1995_01_2013_11,51.0489,19.045,1.0,192.71865,75.3852,18.73065,1.00425,1.468,29.1222
1995_01_2013_12,47.03105,30.8872,1.5,179.5307,63.4823,17.2998,0.9524,1.3886,29.16135
1995_01_2014_02,39.0531,26.11745,1.5,199.2499,41.6663,18.07705,0.8687,1.6499,28.93995
1995_01_2014_03,34.66515,25.51615,1.5,218.2845,37.03645,20.6627,0.85625,1.5234,27.99585
1995_01_2015_10,62.90345,21.2665,1.0,203.05385,77.52715,21.62905,1.37025,1.3812,26.65845
